"OCC_CODE","cognitive_abilities","physical_abilities","psychomotor_abilities","sensory_abilities","assisting_and_caring","cramped_work_space","fine_arts","finger_dexterity","manual_dexterity","Negotiation","Originality","Persuasion","social_perceptiveness"
"11-1011",3.24286486486487,0.0138888888888889,0.456,1.83708333333333,2.275,1.415,0.915,2,0,3.935,4.125,4.44,3.935
"11-1021",3.02648648648649,1.02666666666667,1.137,1.92833333333333,2.95,1.53,0.47,1.38,0.75,3.62,3.38,3.5,4
"11-2011",2.79902702702703,0.0977777777777778,0.287,1.78083333333333,2,1.38,2.3,1.12,0.38,3.75,3.88,3.88,4
"11-2021",2.88275675675676,0.125555555555556,0.212,1.7925,2.21,1.2,1.32,1.25,0,3.88,4,4.38,4
"11-2022",2.95881081081081,0.153333333333333,0.523,1.8125,2.61,1.39,0.61,1.25,0.62,3.88,3.88,4.38,4.12
"11-2031",2.84048648648649,0.124444444444444,0.224,1.75166666666667,2.89,1.07,2.27,1.62,0,3.62,4,4,4.25
"11-3011",2.89054054054054,0.693333333333333,1.125,2.0075,3.48,1.52,0.21,2.12,1.62,3.25,3.12,3.12,3.75
"11-3021",3.00010810810811,0.18,1.051,1.69833333333333,2.34,1.57,0.74,2,2,3.25,3.5,3.5,3.75
"11-3031",2.83691891891892,0.0211111111111111,0.2565,1.60416666666667,2.345,1.15,0.32,2.06,0.19,3.375,3.565,3.875,3.81
"11-3051",3.36672972972973,0.928148148148148,1.89616666666667,2.23263888888889,3.18,2,0.0716666666666667,2.54166666666667,2.20666666666667,3.395,3.46,3.46,3.70666666666667
"11-3061",2.93237837837838,0.0833333333333333,0.112,1.70833333333333,2.71,1.14,0.38,1,0,3.88,3.75,3.88,4
"11-3071",3.14574774774775,0.513333333333333,0.88,1.83722222222222,3.25333333333333,1.49666666666667,0.43,1.75,1.12666666666667,3.58333333333333,3.33333333333333,3.58333333333333,3.66666666666667
"11-3111",2.64113513513514,0.125555555555556,0.263,1.355,3.24,1,0,1.12,0.38,3.12,3.12,3.25,3.62
"11-3121",3.00864864864865,0.153333333333333,0.389,1.72833333333333,3.92,1.08,0.29,1.88,0.38,4,3.88,4,4
"11-3131",2.98697297297297,0.138888888888889,0.4,1.91666666666667,3.04,1.26,0.44,1.5,0.75,3.25,4,3.88,4
"11-9013",3.23228828828829,1.54222222222222,2.25166666666667,2.31027777777778,2.86666666666667,2.24666666666667,0.22,2.79333333333333,2.75333333333333,3.37333333333333,3.33666666666667,3.37333333333333,3.37666666666667
"11-9021",3.24351351351351,0.458888888888889,0.913,2.3325,2.36,1.84,0.28,2.25,0.25,4,3.5,3.88,3.88
"11-9031",2.99351351351351,0.956666666666667,0.676,1.73,4.33,1.15,2.26,1.75,1,3.62,3.5,3.5,3.88
"11-9032",3.20005405405405,0.817777777777778,0.438,1.80166666666667,4.38,1.24,1.96,1.38,0.12,3.88,4,4,4.25
"11-9033",2.93778378378378,0.111111111111111,0.124,1.61416666666667,2.86,1.01,0.96,1.12,0,3.75,4,3.75,4
"11-9039",2.91064864864865,1.27833333333333,1.005,1.75,3.32,1.325,1.02,2.06,1.375,3.5,3.685,3.685,3.75
"11-9041",3.20948648648649,0.485555555555556,1.3185,2.04125,2.355,1.62,0.405,2.75,2.06,3.69,4.12,3.63,3.435
"11-9051",2.77145945945946,1.58222222222222,1.789,1.70666666666667,2.8,2.14,0.43,2.88,2.88,3.5,3,3.12,3.75
"11-9061",2.88497297297297,0.985555555555556,1.464,2.18666666666667,5.45,1.21,0.27,2.38,1.88,3.38,2.62,3.62,3.62
"11-9071",2.98524324324324,1.05555555555556,0.749,2.105,2.88,1.49,0.44,2.12,1,3.5,3,3.75,3.75
"11-9081",3.03664864864865,1.23888888888889,1.562,2.12583333333333,4.25,1.19,1.02,1.88,1.75,4,3.62,4,3.88
"11-9111",3.00691891891892,0.194444444444444,0.438,1.80333333333333,3.04,1.35,0.19,1.38,0.75,3.38,3.5,3.5,4
"11-9121",3.08491891891892,0.0785185185185185,0.366666666666667,1.83722222222222,3.16333333333333,1.48,0.126666666666667,2.29333333333333,0,3.29,3.62666666666667,3.5,3.75333333333333
"11-9131",2.97145945945946,0.875555555555556,0.664,1.7175,2.82,1.25,0.15,1.62,0,3.25,3,3.5,3.5
"11-9141",2.89513513513514,0.0977777777777778,0.387,1.7075,2.85,1.5,0.04,1.25,0.12,3.75,3,3.5,3.38
"11-9151",2.98518918918919,0.264444444444444,0.637,1.84333333333333,4.7,1.09,0.79,1.88,0.62,3.75,3.75,3.75,4.62
"11-9161",3.35151351351351,0.375555555555556,1.275,2.1475,4.12,1.6,0.48,1.12,0.88,3.5,3.88,3.88,3.88
"11-9199",3.05651651651652,0.599259259259259,0.773,1.89814814814815,2.76444444444444,1.61,0.21,1.64111111111111,0.751111111111111,3.45666666666667,3.40222222222222,3.62333333333333,3.65333333333333
"13-1011",2.60016216216216,0.111111111111111,0.601,1.65916666666667,3.33,1.01,3.75,1.88,1,4,3.25,4.12,3.25
"13-1021",2.86578378378378,0.68,0.776,1.79083333333333,2.29,1.25,0.39,2,1.38,3.62,3,3.75,3.12
