,OCC_CODE,cognitive_abilities,physical_abilities,psychomotor_abilities,sensory_abilities,assisting_and_caring,cramped_work_space,fine_arts,finger_dexterity,manual_dexterity,Negotiation,Originality,Persuasion,social_perceptiveness,GP_pred_0,GP_pred_1,prob_class_new
0,11-1011,3.2428648648648704,0.0138888888888889,0.456,1.83708333333333,2.275,1.415,0.915,2.0,0.0,3.935,4.125,4.44,3.935,0.9268486218215912,0.07315137817840878,3) Low
1,11-1021,3.0264864864864904,1.02666666666667,1.137,1.9283333333333301,2.95,1.53,0.47,1.38,0.75,3.62,3.38,3.5,4.0,0.8596246271308701,0.14037537286912993,3) Low
2,11-2011,2.79902702702703,0.0977777777777778,0.287,1.7808333333333302,2.0,1.38,2.3,1.12,0.38,3.75,3.88,3.88,4.0,0.9159655962459965,0.0840344037540035,3) Low
3,11-2021,2.88275675675676,0.125555555555556,0.212,1.7925,2.21,1.2,1.32,1.25,0.0,3.88,4.0,4.38,4.0,0.929222599413265,0.07077740058673498,3) Low
4,11-2022,2.95881081081081,0.15333333333333302,0.523,1.8125,2.61,1.39,0.61,1.25,0.62,3.88,3.88,4.38,4.12,0.9499278939312035,0.05007210606879653,3) Low
5,11-2031,2.8404864864864905,0.124444444444444,0.22399999999999998,1.7516666666666698,2.89,1.07,2.27,1.62,0.0,3.62,4.0,4.0,4.25,0.94032233655048,0.05967766344951997,3) Low
6,11-3011,2.8905405405405404,0.693333333333333,1.125,2.0075,3.48,1.52,0.21,2.12,1.62,3.25,3.12,3.12,3.75,0.7880716281824789,0.2119283718175211,3) Low
7,11-3021,3.00010810810811,0.18,1.051,1.6983333333333301,2.34,1.57,0.74,2.0,2.0,3.25,3.5,3.5,3.75,0.8846681813794248,0.11533181862057518,3) Low
8,11-3031,2.8369189189189203,0.0211111111111111,0.2565,1.6041666666666698,2.345,1.15,0.32,2.06,0.19,3.375,3.565,3.875,3.81,0.7219164829994611,0.2780835170005389,3) Low
9,11-3051,3.36672972972973,0.928148148148148,1.8961666666666699,2.23263888888889,3.18,2.0,0.0716666666666667,2.5416666666666696,2.2066666666666697,3.395,3.46,3.46,3.7066666666666697,0.8891477600459439,0.11085223995405613,3) Low
10,11-3061,2.93237837837838,0.0833333333333333,0.11199999999999999,1.7083333333333302,2.71,1.14,0.38,1.0,0.0,3.88,3.75,3.88,4.0,0.864204081734897,0.13579591826510296,3) Low
11,11-3071,3.1457477477477505,0.5133333333333329,0.88,1.83722222222222,3.2533333333333303,1.49666666666667,0.43,1.75,1.12666666666667,3.5833333333333304,3.3333333333333304,3.5833333333333304,3.6666666666666696,0.8644279649432747,0.13557203505672533,3) Low
12,11-3111,2.64113513513514,0.125555555555556,0.263,1.355,3.24,1.0,0.0,1.12,0.38,3.12,3.12,3.25,3.62,0.5916228059134596,0.4083771940865404,2) Medium
13,11-3121,3.00864864864865,0.15333333333333302,0.389,1.7283333333333302,3.92,1.08,0.29,1.88,0.38,4.0,3.88,4.0,4.0,0.9301297350891673,0.0698702649108327,3) Low
14,11-3131,2.98697297297297,0.138888888888889,0.4,1.9166666666666698,3.04,1.26,0.44,1.5,0.75,3.25,4.0,3.88,4.0,0.9417492619722907,0.0582507380277093,3) Low
15,11-9013,3.2322882882882897,1.54222222222222,2.25166666666667,2.3102777777777797,2.86666666666667,2.2466666666666697,0.22,2.7933333333333303,2.7533333333333303,3.37333333333333,3.33666666666667,3.37333333333333,3.37666666666667,0.8388574892094312,0.16114251079056885,3) Low
16,11-9021,3.2435135135135096,0.45888888888888896,0.9129999999999999,2.3325,2.36,1.84,0.28,2.25,0.25,4.0,3.5,3.88,3.88,0.7592549647225724,0.24074503527742763,3) Low
17,11-9031,2.9935135135135096,0.956666666666667,0.6759999999999999,1.73,4.33,1.15,2.26,1.75,1.0,3.62,3.5,3.5,3.88,0.9501040255070166,0.04989597449298344,3) Low
18,11-9032,3.20005405405405,0.8177777777777779,0.43799999999999994,1.8016666666666699,4.38,1.24,1.96,1.38,0.12,3.88,4.0,4.0,4.25,0.9672202396282046,0.03277976037179542,3) Low
19,11-9033,2.9377837837837797,0.111111111111111,0.124,1.6141666666666699,2.86,1.01,0.96,1.12,0.0,3.75,4.0,3.75,4.0,0.914753929715971,0.08524607028402897,3) Low
20,11-9039,2.91064864864865,1.27833333333333,1.005,1.75,3.32,1.325,1.02,2.06,1.375,3.5,3.685,3.685,3.75,0.9480593404929323,0.05194065950706772,3) Low
21,11-9041,3.2094864864864903,0.485555555555556,1.3185,2.04125,2.355,1.62,0.405,2.75,2.06,3.69,4.12,3.63,3.435,0.9112329112216457,0.08876708877835426,3) Low
22,11-9051,2.77145945945946,1.58222222222222,1.7890000000000001,1.7066666666666699,2.8,2.14,0.43,2.88,2.88,3.5,3.0,3.12,3.75,0.7884497547906903,0.21155024520930965,3) Low
23,11-9061,2.88497297297297,0.985555555555556,1.464,2.1866666666666696,5.45,1.21,0.27,2.38,1.88,3.38,2.62,3.62,3.62,0.8289225577653951,0.17107744223460486,3) Low
24,11-9071,2.9852432432432403,1.05555555555556,0.7490000000000001,2.105,2.88,1.49,0.44,2.12,1.0,3.5,3.0,3.75,3.75,0.7340715443966133,0.26592845560338674,3) Low
25,11-9081,3.03664864864865,1.2388888888888898,1.5619999999999998,2.1258333333333304,4.25,1.19,1.02,1.88,1.75,4.0,3.62,4.0,3.88,0.9731081912023001,0.026891808797699923,3) Low
26,11-9111,3.0069189189189203,0.19444444444444395,0.43799999999999994,1.8033333333333301,3.04,1.35,0.19,1.38,0.75,3.38,3.5,3.5,4.0,0.8497514736793619,0.15024852632063812,3) Low
27,11-9121,3.08491891891892,0.0785185185185185,0.3666666666666671,1.83722222222222,3.16333333333333,1.48,0.12666666666666698,2.2933333333333303,0.0,3.29,3.62666666666667,3.5,3.7533333333333303,0.6980799611596353,0.30192003884036467,2) Medium
28,11-9131,2.9714594594594597,0.875555555555556,0.664,1.7175,2.82,1.25,0.15,1.62,0.0,3.25,3.0,3.5,3.5,0.43966695252051124,0.5603330474794888,2) Medium
29,11-9141,2.89513513513514,0.0977777777777778,0.387,1.7075,2.85,1.5,0.04,1.25,0.12,3.75,3.0,3.5,3.38,0.5129614169095866,0.48703858309041337,2) Medium
30,11-9151,2.9851891891891897,0.264444444444444,0.637,1.8433333333333302,4.7,1.09,0.79,1.88,0.62,3.75,3.75,3.75,4.62,0.9601401967239553,0.03985980327604466,3) Low
31,11-9161,3.3515135135135097,0.37555555555555603,1.275,2.1475,4.12,1.6,0.48,1.12,0.88,3.5,3.88,3.88,3.88,0.9598107014015795,0.040189298598420464,3) Low
32,11-9199,3.0565165165165196,0.599259259259259,0.773,1.89814814814815,2.76444444444444,1.61,0.21,1.64111111111111,0.7511111111111108,3.4566666666666697,3.4022222222222203,3.62333333333333,3.65333333333333,0.7880640239403647,0.21193597605963532,3) Low
33,13-1011,2.6001621621621602,0.111111111111111,0.601,1.6591666666666698,3.33,1.01,3.75,1.88,1.0,4.0,3.25,4.12,3.25,0.8743525353331734,0.12564746466682664,3) Low
34,13-1021,2.8657837837837796,0.68,0.7759999999999999,1.7908333333333302,2.29,1.25,0.39,2.0,1.38,3.62,3.0,3.75,3.12,0.5700354224724151,0.4299645775275849,2) Medium
35,13-1022,2.64281081081081,0.6811111111111109,0.75,1.635,2.8,1.6,0.03,2.0,1.5,4.0,3.12,4.0,3.5,0.7788222037095238,0.22117779629047618,3) Low
36,13-1023,2.8612972972973,0.0966666666666667,0.175,1.3875,2.65,1.09,0.32,0.75,0.38,4.0,3.0,4.0,3.5,0.6897415771576334,0.3102584228423666,2) Medium
37,13-1031,2.6455135135135097,0.0972222222222222,0.5745,1.72416666666667,2.63,1.265,0.225,2.065,1.12,3.685,2.5,3.19,3.19,0.2792493317856497,0.7207506682143503,1) High
38,13-1032,2.6525945945945897,0.626666666666667,1.064,2.125,3.24,2.62,0.0,1.5,1.38,2.88,2.62,2.88,3.0,0.4764661091294258,0.5235338908705742,2) Medium
39,13-1041,2.92088288288288,0.900555555555556,1.27466666666667,2.29708333333333,2.485,2.00666666666667,0.28,2.27,1.415,3.1666666666666696,3.105,3.415,3.64333333333333,0.677160717694278,0.322839282305722,2) Medium
